1.067,-0.026913,-0.1317,1.2499,-0.84871,3.7689,6.2159,14.555,16.944,-10.559,0.93497,0.30878,-0.71395,0.68653,0.50639,3.2465,6.7348,-13.609,-24.934,-28.342
1.0844,-0.060564,-0.11185,1.2437,-0.85768,3.7639,6.2115,14.558,16.947,-10.556,0.94422,0.30606,-0.71743,0.69993,0.49146,3.2526,6.7385,-13.607,-24.932,-28.343
1.1018,-0.093626,-0.091927,1.2373,-0.86639,3.7588,6.2071,14.561,16.949,-10.553,0.95348,0.30037,-0.72036,0.71327,0.47639,3.2587,6.7423,-13.604,-24.93,-28.345
1.1192,-0.1258,-0.071928,1.2308,-0.87483,3.7538,6.2027,14.563,16.952,-10.55,0.96273,0.29181,-0.72274,0.72653,0.46116,3.2648,6.7461,-13.601,-24.928,-28.346
1.1366,-0.15682,-0.051874,1.2241,-0.88301,3.7487,6.1983,14.566,16.955,-10.547,0.97199,0.28057,-0.72455,0.73972,0.4458,3.2708,6.7498,-13.599,-24.926,-28.348
1.154,-0.18643,-0.031779,1.2174,-0.89091,3.7436,6.1939,14.569,16.957,-10.544,0.98124,0.26682,-0.72581,0.75283,0.4303,3.2769,6.7536,-13.596,-24.925,-28.349
1.1713,-0.21445,-0.01166,1.2105,-0.89854,3.7386,6.1894,14.571,16.96,-10.54,0.9905,0.25078,-0.7265,0.76587,0.41467,3.2829,6.7574,-13.593,-24.923,-28.351
1.1887,-0.24071,0.0084674,1.2035,-0.9059,3.7335,6.185,14.574,16.962,-10.537,0.99975,0.23267,-0.72664,0.77883,0.39891,3.2889,6.7611,-13.591,-24.921,-28.352
1.2061,-0.26506,0.028589,1.1964,-0.91298,3.7284,6.1806,14.577,16.965,-10.534,1.009,0.21272,-0.72621,0.79172,0.38303,3.2949,6.7649,-13.588,-24.919,-28.354
1.2235,-0.28742,0.048688,1.1891,-0.91978,3.7233,6.1762,14.579,16.967,-10.531,1.0183,0.19117,-0.72523,0.80452,0.36703,3.301,6.7686,-13.585,-24.917,-28.355
1.2409,-0.30771,0.06875,1.1818,-0.9263,3.7182,6.1717,14.582,16.97,-10.528,1.0275,0.16824,-0.72369,0.81725,0.35092,3.307,6.7724,-13.583,-24.916,-28.357
1.2583,-0.32588,0.088759,1.1743,-0.93254,3.7131,6.1673,14.584,16.973,-10.525,1.0368,0.14416,-0.72159,0.82989,0.3347,3.313,6.7761,-13.58,-24.914,-28.358
1.2756,-0.34193,0.1087,1.1667,-0.93849,3.7079,6.1629,14.587,16.975,-10.522,1.046,0.11913,-0.71893,0.84245,0.31838,3.319,6.7799,-13.577,-24.912,-28.36
1.293,-0.35584,0.12856,1.159,-0.94416,3.7028,6.1584,14.59,16.978,-10.518,1.0553,0.093353,-0.71572,0.85493,0.30197,3.3249,6.7836,-13.574,-24.91,-28.361
1.3104,-0.36763,0.14831,1.1512,-0.94954,3.6976,6.154,14.592,16.98,-10.515,1.0645,0.067021,-0.71196,0.86733,0.28546,3.3309,6.7873,-13.572,-24.909,-28.363
1.3278,-0.37734,0.16796,1.1432,-0.95463,3.6925,6.1496,14.595,16.983,-10.512,1.0738,0.040308,-0.70765,0.87964,0.26886,3.3369,6.7911,-13.569,-24.907,-28.364
